CodeArticle,LibelleArticle,CodeDescriptifCommercial,LibelleDescriptifCommecial,Ordre
AG,Essai d'analyse granulométrique,D00174,Prélevement de materiau pour essai granulometrique,1
AG,Essai d'analyse granulométrique,D00175,Analyse granulométrique par tamisage,2
AG,Essai d'analyse granulométrique,D00176,Rapport d'essai Analyse granulométrique,3
Accr.dsg,Essai de contrôle du dosage de la couche d'accrochage,D00742,Prélevement de materiau pour mesure de dosage de la couche d'accrochage,1
Accr.dsg,Essai de contrôle du dosage de la couche d'accrochage,D00743,Etablissement du rapport d'essai dosage d'accrochage en trois exemplaires,1
Accr.dsg,Essai de contrôle du dosage de la couche d'accrochage,D00207,Mesure du dosage de la couche d’accrochage,1
Acier,Essais sur aciers ,D00262,Prélevement des aciers,1
Acier,Essais sur aciers ,D00263,Contrôle de la Nuance des aciers ,2
Acier,Essais sur aciers ,D00265,Essai de pliage des aciers,3
Acier,Essais sur aciers ,D00264,Détermination de la masse linéique des aciers,4
Acier,Essais sur aciers ,D00266,Essais de traction par diamètre,5
Acier,Essais sur aciers ,D00267,Rapport d'essai aciers,6
Acier.plig,Essai de pliages des armatures de différents diamètres,D00262,Prélevement des aciers,1
Acier.plig,Essai de pliages des armatures de différents diamètres,D00265,Essai de pliage des aciers,3
Acier.plig,Essai de pliages des armatures de différents diamètres,D00329,Rapport d'essai pliage,4
Acier.tr,Essai de traction sur armature de différents diamètres,D00262,Prélevement des aciers,1
Acier.tr,Essai de traction sur armature de différents diamètres,D00263,Contrôle de la Nuance des aciers ,2
Acier.tr,Essai de traction sur armature de différents diamètres,D00267,Rapport d'essai aciers,6
Adhes,Essai d’adhésivité (granulats – liants)  ,D00166,Prélevement mélange granulat -liant,1
Adhes,Essai d’adhésivité (granulats – liants)  ,D00129,Essais d’adhésivité émulsion-granulat,2
Adhes,Essai d’adhésivité (granulats – liants)  ,D00168,Rapport d'essai adhésivité,3
Adjvt,Paramétres physico-chimiques de l'adjuvant,D00031,Prélevement de l'Adjuvent,1
Adjvt,Paramétres physico-chimiques de l'adjuvant,D00032,Analyse physico-chimiques de l'adjuvant,2
Adjvt,Paramétres physico-chimiques de l'adjuvant,D00033,Rapport d'essai chimiques sur adjuvant,3
Aff,Essai d'affaissement au cone d'Abrams,D00172,Essai d'affaissement au cône d’Abrams,1
Aff,Essai d'affaissement au cone d'Abrams,D00173,Rapport d'essai affaissement,2
AgAC,Agrément couche Anti-contaminante ,D00430A,Prélevements des échantillons de couche anti-contaminante ,1
AgAC,Agrément couche Anti-contaminante ,D00594A,Analyses granulométriques par tamisage.,2
AgAC,Agrément couche Anti-contaminante ,D00122A,Déterminations des limites d’Atterberg,3
AgAC,Agrément couche Anti-contaminante ,D00431A,Rapport d'agrément AC,4
AgCF,Agrément couche de forme  ,D00750A,Prélevements des materiaux couche de forme,1
AgCF,Agrément couche de forme  ,D00594A,Analyses granulométriques par tamisage.,2
AgCF,Agrément couche de forme  ,D00122A,Déterminations des limites d’Atterberg,3
AgCF,Agrément couche de forme  ,D00161A,Essais au bleu de méthyléne,4
AgCF,Agrément couche de forme  ,D00142A,Essais de dureté Los Angeles,5
AgCF,Agrément couche de forme  ,D00420A,Essais Micro Deval,6
AgCF,Agrément couche de forme  ,D00434A,Essais de Dégradabilité,7
AgCF,Agrément couche de forme  ,D00435A,Essais de fragmentabilité,8
AgCF,Agrément couche de forme  ,D00751A,Rapport d'agrément couche de forme,9
AgGrB,Agrément gravette à béton ,D00758A,Prélevements des échantillons de gravettes à béton ,1
AgGrB,Agrément gravette à béton ,D00412A,Mesures de la propreté des granulats,2
AgGrB,Agrément gravette à béton ,D00594A,Analyses granulométriques par tamisage.,3
AgGrB,Agrément gravette à béton ,D00143A,Mesures du coefficient d’absorption des sables,4
AgGrB,Agrément gravette à béton ,D00058A,Essais de mesure du coefficient d’aplatissement,5
AgGrB,Agrément gravette à béton ,D00142A,Essais de dureté Los Angeles,6
AgGrB,Agrément gravette à béton ,D00759A,Rapport d'agrément des gravettes à béton ,7
AgGrBV,Agrément gravette à béton-V,D00758A,Prélevements des échantillons de gravettes à béton ,1
AgGrBV,Agrément gravette à béton-V,D00412A,Mesures de la propreté des granulats,2
AgGrBV,Agrément gravette à béton-V,D00594A,Analyses granulométriques par tamisage.,3
AgGrBV,Agrément gravette à béton-V,D00143A,Mesures du coefficient d’absorption des sables,4
AgGrBV,Agrément gravette à béton-V,D00058A,Essais de mesure du coefficient d’aplatissement,5
AgGrBV,Agrément gravette à béton-V,D00142A,Essais de dureté Los Angeles,6
AgGrBV,Agrément gravette à béton-V,D00759A,Rapport d'agrément des gravettes à béton ,7
AgLPG,Agrément lit de pose en gravette,D00754A,Prélevements des échantillons lit de pose en gravette,1
AgLPG,Agrément lit de pose en gravette,D00594A,Analyses granulométriques par tamisage.,2
AgLPG,Agrément lit de pose en gravette,D00755A,Rapport d'agrément lit de pose en gravette,3
AgLPS,Agrément lit de pose en sable,D00756A,Prélevements des échantillons lit de pose en sable,1
AgLPS,Agrément lit de pose en sable,D00594A,Analyses granulométriques par tamisage.,2
AgLPS,Agrément lit de pose en sable,D00413A,Essais d’équivalent de sable à 10% des fines,3
AgLPS,Agrément lit de pose en sable,D00757A,Rapport d'agrément lit de pose en sable,4
AgMD,Agrément matériau drainant,D00753A,Rapport d'agrément matériau drainant,0
AgMD,Agrément matériau drainant,D00594A,Analyses granulométriques par tamisage.,0
AgMD,Agrément matériau drainant,D00752A,Prélevements des matériaux drainants,1
AgMS,Agrément MS,D00437A,Prélevements des materiaux séléctionnés,1
AgMS,Agrément MS,D00594A,Analyses granulométriques par tamisage.,2
AgMS,Agrément MS,D00433A,Essais de Teneur CaCo3,3
AgMS,Agrément MS,D00122A,Déterminations des limites d’Atterberg,4
AgMS,Agrément MS,D00142A,Essais de dureté Los Angeles,5
AgR,Agrément remblai,D00439A,Prélevements des matériaux de remblai,1
AgR,Agrément remblai,D00594A,Analyses granulométriques par tamisage.,2
AgR,Agrément remblai,D00122A,Déterminations des limites d’Atterberg,3
AgR,Agrément remblai,D00161A,Essais au bleu de méthyléne,4
AgR,Agrément remblai,D00440A,Rapport d'agrément de Remblai,5
AgR-V,Agrément remblai-V,D00439A,Prélevements des matériaux de remblai,1
AgR-V,Agrément remblai-V,D00594A,Analyses granulométriques par tamisage.,2
AgR-V,Agrément remblai-V,D00122A,Déterminations des limites d’Atterberg,3
AgR-V,Agrément remblai-V,D00161A,Essais au bleu de méthyléne,4
AgR-V,Agrément remblai-V,D00440A,Rapport d'agrément de Remblai,5
AgSB,Agrément sable pour béton ,D00745A,Prélevements sables pour béton,1
AgSB,Agrément sable pour béton ,D00594A,Analyses granulométriques par tamisage.,2
AgSB,Agrément sable pour béton ,D00413A,Essais d’équivalent de sable à 10% des fines,3
AgSB,Agrément sable pour béton ,D00143A,Mesures du coefficient d’absorption des sables,4
AgSB,Agrément sable pour béton ,D00746A,Rapport d'agrément sable pour béton,5
AgSBV,Agrément sable pour béton VRD,D00745A,Prélevements sables pour béton,1
AgSBV,Agrément sable pour béton VRD,D00594A,Analyses granulométriques par tamisage.,2
AgSBV,Agrément sable pour béton VRD,D00413A,Essais d’équivalent de sable à 10% des fines,3
AgSBV,Agrément sable pour béton VRD,D00143A,Mesures du coefficient d’absorption des sables,4
AgSBV,Agrément sable pour béton VRD,D00746A,Rapport d'agrément sable pour béton,5
AgTV,Agrément TV,D00441A,Prélevements GNT,1
AgTV,Agrément TV,D00594A,Analyses granulométriques par tamisage.,2
AgTV,Agrément TV,D00705A,Essais au bleu de méthyléne VB,3
AgTV,Agrément TV,D00413A,Essais d’équivalent de sable à 10% des fines,4
AgTV,Agrément TV,D00142A,Essais de dureté Los Angeles,5
AgTV,Agrément TV,D00420A,Essais Micro Deval,6
AgTV,Agrément TV,D00749A,Indices de concassage,7
AgTV,Agrément TV,D00122A,Déterminations des limites d’Atterberg,8
AgTV,Agrément TV,D00442A,Rapport d'agrément GNT,9
AgTV-V,Agrément TV-V,D00441A,Prélevements GNT,1
AgTV-V,Agrément TV-V,D00594A,Analyses granulométriques par tamisage.,2
AgTV-V,Agrément TV-V,D00705A,Essais au bleu de méthyléne VB,3
AgTV-V,Agrément TV-V,D00413A,Essais d’équivalent de sable à 10% des fines,4
AgTV-V,Agrément TV-V,D00142A,Essais de dureté Los Angeles,5
AgTV-V,Agrément TV-V,D00420A,Essais Micro Deval,6
AgTV-V,Agrément TV-V,D00749A,Indices de concassage,7
AgTV-V,Agrément TV-V,D00122A,Déterminations des limites d’Atterberg,8
AgTV-V,Agrément TV-V,D00442A,Rapport d'agrément GNT,9
Agg,Essais sur élements de maçonnerie en béton de granulats ,D00383,Prélevement des éléments de maconnerie en béton de granulats,1
Agg,Essais sur élements de maçonnerie en béton de granulats ,D00332,Essai de résistance à la compression des éléments de maconnerie en béton de granulats,2
