Code Article,Libelle Article,Code Descriptif Commercial,Libelle Descriptif Commecial,Ordre,Code Taches,Libelle Tache
AgLPS,Agrément lit de pose en sable,D00757A,Rapport d'agrément lit de pose en sable,4,TD00757A,Rapport d'agrément lit de pose en sable
AgLPS,Agrément lit de pose en sable,D00756A,Prélevements des échantillons lit de pose en sable,1,TD00756A-2,R.E.R. agrément lit de pose en sable
AgLPS,Agrément lit de pose en sable,D00756A,Prélevements des échantillons lit de pose en sable,1,TD00756A-1,P.E.R. agrément lit de pose en sable
AgLPG,Agrément lit de pose en gravette,D00755A,Rapport d'agrément lit de pose en gravette,3,TD00755A,Rapport d'agrément lit de pose en gravette
AgLPG,Agrément lit de pose en gravette,D00754A,Prélevements des échantillons lit de pose en gravette,1,TD00754A-1,P.E.R. agrément lit de pose en gravette
AgLPG,Agrément lit de pose en gravette,D00754A,Prélevements des échantillons lit de pose en gravette,1,TD00754A-2,R.E.R. agrément lit de pose en gravette
AgMD,Agrément matériau drainant,D00753A,Rapport d'agrément matériau drainant,0,TD00753A,Rapport d'agrément matériau drainant
AgMD,Agrément matériau drainant,D00752A,Prélevements des matériaux drainants,1,TD00752A-2,R.E.R. agrément matériau drainant
AgMD,Agrément matériau drainant,D00752A,Prélevements des matériaux drainants,1,TD00752A-1,P.E.R. agrément matériau drainant
AgCF,Agrément couche de forme  ,D00751A,Rapport d'agrément couche de forme,9,TD00751A,Rapport d'agrément couche de forme
AgCF,Agrément couche de forme  ,D00750A,Prélevements des materiaux couche de forme,1,TD00750A-1,P.E.R. agrément couche de forme
AgCF,Agrément couche de forme  ,D00750A,Prélevements des materiaux couche de forme,1,TD00750A-2,R.E.R. agrément couche de forme
AgTV,Agrément TV,D00442A,Rapport d'agrément GNT,9,TD00442A,Rapport d'agrément GNT
AgTV-V,Agrément TV-V,D00442A,Rapport d'agrément GNT,9,TD00442A,Rapport d'agrément GNT
AgTV-V,Agrément TV-V,D00441A,Prélevements GNT,1,TD00441A-1,P.E.R. agrément GNT 
AgTV,Agrément TV,D00441A,Prélevements GNT,1,TD00441A-1,P.E.R. agrément GNT 
AgTV-V,Agrément TV-V,D00441A,Prélevements GNT,1,TD00441A-2,R.E.R. agrément GNT
AgTV,Agrément TV,D00441A,Prélevements GNT,1,TD00441A-2,R.E.R. agrément GNT
AgMS,Agrément MS,D00437A,Prélevements des materiaux séléctionnés,1,TD00437A-2,R.E.R. agrément MS 
AgMS,Agrément MS,D00437A,Prélevements des materiaux séléctionnés,1,TD00437A-1,P.E.R. agrément MS 
AgAC,Agrément couche Anti-contaminante ,D00431A,Rapport d'agrément AC,4,TD00431A,Rapport d'agrément couche anti contaminante
AgAC,Agrément couche Anti-contaminante ,D00430A,Prélevements des échantillons de couche anti-contaminante ,1,TD00430A-1,P.E.R. Agrément couche AC
AgAC,Agrément couche Anti-contaminante ,D00430A,Prélevements des échantillons de couche anti-contaminante ,1,TD00430A-2,R.E.R. Agrément couche AC
IdGrB,dentification gravette à béton (Vérification),D00804,Rapport d'essai ID gravette à béton ,7,TD00804,Rapport d'essai ID gravette à béton 
IdGrB,dentification gravette à béton (Vérification),D00803,Prélevement des gravette à béton ,1,TD00803-2,R.E.R. gravette à béton 
IdGrB,dentification gravette à béton (Vérification),D00803,Prélevement des gravette à béton ,1,TD00803-1,P.E.R. gravette à béton 
IdLPS,Identification lit de pose en sable,D00802,Rapport d'essai lit de pose en sable,4,TD00802,Rapport d'essai ID lit de pose en sable
IdLPS,Identification lit de pose en sable,D00801,Prélevement lit de pose en sable,1,TD00800-1,P.E.R. lit de pose en sable
IdLPS,Identification lit de pose en sable,D00801,Prélevement lit de pose en sable,1,TD00800-2,R.E.R. lit de pose en sable
IdLPG,"Identification lit de pose en gravette
",D00759,Prélevement lit de pose en gravette,1,TD00759-2,R.E.R. lit de pose en gravette
IdLPG,"Identification lit de pose en gravette
",D00759,Prélevement lit de pose en gravette,1,TD00759-1,P.E.R. lit de pose en gravette
IdMD,identification matériau drainan,D00758,Rapport d'essai matériau drainant,3,TD00758,Rapport d'essai ID matériau drainant
IdMD,identification matériau drainan,D00757,Prélevement matériau drainant,1,TD00757-2,R.E.R. matériau drainant
IdMD,identification matériau drainan,D00757,Prélevement matériau drainant,1,TD00757-1,P.E.R. matériau drainant
IdCF,Identification couche de forme  ,D00750,Prélevement de materiau couche de forme,1,TA090,R.E.R. Couche de roulement
IdCF,Identification couche de forme  ,D00750,Prélevement de materiau couche de forme,1,TD00432-1,P.E.R. Couche de roulement
IdSBV,Identification sable pour béton VRD,D00748,Rapport d'essai ID sable pour béton VRD,5,TD00746,Rapport d'essai ID sable pour béton
IdSB,Identification sable pour béton,D00746,Rapport d'essai ID sable pour béton,5,TD00746,Rapport d'essai ID sable pour béton
IdSBV,Identification sable pour béton VRD,D00745,Prélevement sable pour béton,1,TD00745-2,R.E.R. sable pour béton
IdSB,Identification sable pour béton,D00745,Prélevement sable pour béton,1,TD00745-2,R.E.R. sable pour béton
IdSBV,Identification sable pour béton VRD,D00745,Prélevement sable pour béton,1,TD00745-1,P.E.R. sable pour béton
IdSB,Identification sable pour béton,D00745,Prélevement sable pour béton,1,TD00745-1,P.E.R. sable pour béton
LabV,Essais de laboratoire^,D00755,Agrésivité des eaux souterraines,35,TD00003,PH de l'eau
LabB,Essais de laboratoire,D00755,Agrésivité des eaux souterraines,19,TD00003,PH de l'eau
LabOA,Essais de laboratoire°,D00755,Agrésivité des eaux souterraines,41,TD00003,PH de l'eau
LabV,Essais de laboratoire^,D00755,Agrésivité des eaux souterraines,35,TD00770,Co2 agréssif eau
LabB,Essais de laboratoire,D00755,Agrésivité des eaux souterraines,19,TD00770,Co2 agréssif eau
LabOA,Essais de laboratoire°,D00755,Agrésivité des eaux souterraines,41,TD00770,Co2 agréssif eau
LabV,Essais de laboratoire^,D00755,Agrésivité des eaux souterraines,35,TD00012,Amonium
LabB,Essais de laboratoire,D00755,Agrésivité des eaux souterraines,19,TD00012,Amonium
LabOA,Essais de laboratoire°,D00755,Agrésivité des eaux souterraines,41,TD00012,Amonium
LabV,Essais de laboratoire^,D00755,Agrésivité des eaux souterraines,35,TD00008,Magnésium
LabB,Essais de laboratoire,D00755,Agrésivité des eaux souterraines,19,TD00008,Magnésium
LabOA,Essais de laboratoire°,D00755,Agrésivité des eaux souterraines,41,TD00008,Magnésium
LabV,Essais de laboratoire^,D00755,Agrésivité des eaux souterraines,35,T00039,Sulfates £
LabB,Essais de laboratoire,D00755,Agrésivité des eaux souterraines,19,T00039,Sulfates £
LabOA,Essais de laboratoire°,D00755,Agrésivité des eaux souterraines,41,T00039,Sulfates £
LabV,Essais de laboratoire^,D00754,Mésure de l'acidité du sol,34,TD00754,Acidité sol
LabB,Essais de laboratoire,D00754,Mésure de l'acidité du sol,18,TD00754,Acidité sol
LabOA,Essais de laboratoire°,D00754,Mésure de l'acidité du sol,40,TD00754,Acidité sol
LabV,Essais de laboratoire^,D00753,Mésure de sulfates sur sol,33,T00042,Sulfates 
LabB,Essais de laboratoire,D00753,Mésure de sulfates sur sol,17,T00042,Sulfates 
LabOA,Essais de laboratoire°,D00753,Mésure de sulfates sur sol,39,T00042,Sulfates 
LabV,Essais de laboratoire^,D00752,Mésure de la résistivité électrique,32,TD00634,Résistivité électrique
LabB,Essais de laboratoire,D00752,Mésure de la résistivité électrique,16,TD00634,Résistivité électrique
LabOA,Essais de laboratoire°,D00752,Mésure de la résistivité électrique,38,TD00634,Résistivité électrique
LabV,Essais de laboratoire^,D00751,Essai d'abrasion sur roche,31,T00751,Abrasion roche
LabOA,Essais de laboratoire°,D00751,Essai d'abrasion sur roche,37,T00751,Abrasion roche
LabB,Essais de laboratoire,D00751,Essai d'abrasion sur roche,15,T00751,Abrasion roche
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00047,Densité relative – la méthode du pycnomètre 
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,T00043,Point d’éclair
EF.EB,Etude de formulation pour enrobé,D00770,"Essais sur bitume (Point de ramollissement,Pénetrabilité à l'aiguille,Densité relative au pycno,Point d'eclair,Perte de masse,Solubilité,Teneur en paraffine,Penetration résiduelle)",2,TD00049,Solubilité
